Soil_Type,AMF,Basidiomycota,Ascomycota,Gram_Positive,Gram_Negative,Actinomycetes
unfertilized,0.598919747,18.528434,3.597267644,13.41262799,9.657910078,1013.514885
unfertilized,1.393716355,15.3604306,2.373184089,12.34264314,9.016315774,896.5767767
unfertilized,0.483957086,16.20673021,2.173897194,11.57597543,8.197161646,992.3429755
unfertilized,1.310068911,17.91250733,4.009252634,12.51563684,8.579014968,1050.642541
Lime,0.6261107,15.15989621,3.602042926,10.43239835,7.013532538,1915.008434
Lime,0.872445751,16.79903396,4.093198951,11.46219563,8.416651634,1765.50058
Lime,0.683986959,14.00810477,3.18934728,8.909627886,6.728473653,1537.705814
Chemical,1.007778026,17.13400665,5.285303356,10.50534872,7.785516298,1344.521065
Chemical,1.244024466,19.47687498,5.028678607,12.20543777,9.399326539,1083.137146
Chemical,0.979327089,15.76361418,3.340317149,9.989106626,8.009633707,930.3558334
Chemical,0.899652037,13.48974727,2.265989787,8.281014003,6.712840628,1172.03803
Chemical,0.446439172,11.77974598,5.33343655,9.677040887,6.411156432,974.6462776
Chemical,1.213777969,15.50405298,4.21554377,11.15717304,7.595701172,1070.971333
Chemical,1.52381502,18.92046492,4.999623166,14.72138708,9.440883552,787.064811
Chemical,1.294159348,13.42553091,3.707531625,11.44192146,6.589974773,862.7389898
Chemical,1.124136843,14.1662348,1.908388312,10.43585647,7.870788343,648.7490235
Chemical,1.303253443,17.40259495,1.430475806,12.47327587,8.491655934,395.3910699
Chemical,1.375231047,16.47514276,2.194630197,13.01466163,9.362943242,528.3855231
Chemical,1.492354158,12.72728231,1.035358711,9.938397893,7.554683793,394.1519278
Chemical,1.256049128,14.76558331,3.83107425,11.05688607,7.675147936,794.2437869
Chemical,1.455050507,17.59852895,5.549881087,13.97340882,9.31160592,915.2190542
Chemical,1.402170946,15.95465214,3.954527977,12.99389938,8.817109309,1020.732428
Chemical,0.48752335,12.8174029,2.474470471,10.76682699,6.289574062,713.353122
Chemical,1.161964762,16.47074399,3.186987326,10.92209016,8.544612182,981.188857
Chemical,1.236288821,15.9387973,2.822193626,11.28941454,9.302271406,751.1647345
Chemical,1.448837746,17.87634654,3.220736802,12.79027055,10.29740412,721.636693
Chemical,1.225336862,14.1588901,1.481541564,10.70996953,8.907344892,461.2149903
Chemical,1.402461918,14.22922241,4.331462109,11.72745096,8.516766607,718.332969
Chemical,1.135155701,18.35921572,6.217569244,11.54042648,7.508787269,1124.902672
Chemical,1.017553871,19.84252038,5.869278964,10.87216475,7.6157029,1040.572201
Chemical,1.453826401,15.62985556,3.353170043,11.43508021,8.049836374,1026.398596
Chemical,1.212613953,16.76685808,2.542676365,10.90224767,8.350214633,783.4539207
Chemical,1.704129638,18.51156077,3.763012914,11.51224929,8.886422755,736.8671705
Chemical,1.568814555,19.61198689,5.321227763,12.05642198,9.368129003,1041.332108
Chemical,1.028559276,14.45978301,2.751001458,8.969944595,6.773763414,653.263167
Lime,0.948306056,14.24066916,2.984129923,9.87187237,7.792814501,1408.673558
Lime,1.004788463,15.21554613,3.202035462,10.20390759,8.066755906,1608.200933
Lime,1.009774109,15.81017956,2.965225718,11.66663131,9.212886493,1508.088476
Lime,0.907607554,14.74120333,3.280301021,9.673442746,7.135993261,1423.833304
Lime,1.147684569,17.2589545,3.442206978,12.14185776,9.501144783,1349.201338
Lime,0.949845173,15.39936792,3.541861589,10.55083314,7.891248957,1359.475709
Lime,1.06048198,16.52042325,3.265419157,11.80987981,9.023841932,1288.706468
Lime,0.826309453,15.02865694,2.928811828,9.313027688,7.003832855,1068.146811
Organic,1.364232956,18.09555503,2.707385396,14.37865693,10.60738925,1326.85549
Organic,1.194975152,17.96895204,2.750374794,13.7640155,9.716107515,1218.393847
Organic,1.423774896,20.27886254,3.07080778,16.57074502,12.64560973,1417.687768
Organic,1.46982878,18.33921882,3.064335947,14.38552968,10.9366173,1302.851527
Organic,2.325755553,18.67128904,3.80871755,11.91770111,8.131819329,1126.07923
Organic,2.666972156,22.56758322,5.384645057,15.99359478,9.906415271,1080.951583
Organic,2.516854002,24.00515847,6.694310637,17.33939461,10.85587946,1173.175074
Organic,2.42503335,24.17724869,4.243434049,16.99237419,10.40928604,947.8128348
Organic,1.6483989,21.32706248,4.793058451,14.03914884,9.71862393,1193.623153
Organic,1.576433623,17.00041796,1.358193379,13.09817531,9.205578164,763.2354005
Organic,1.774377737,22.19965373,4.294302102,15.63617981,10.68055572,1113.333732
Organic,1.961422046,21.3834159,4.683153468,15.36654119,10.4319181,1149.739068
