Dissolved organic N,Amino Acids,NH4,NO3,total inorganic N,Microbial N
40.38278225,12.89096259,3.793490806,0.332647259,4.126138065,103.2034831
11.53553252,10.83623639,2.411036102,0.625136562,3.036172664,131.9090584
20.86597206,11.63626733,2.346471,1.117611286,3.464082286,64.03754
21.61439864,10.25875507,1.901717023,0.386664361,2.288381384,97.1154928
3.984393161,4.944599396,1.09248855,0.308819361,1.401307911,60.00694742
13.02254563,6.344138829,2.34289794,2.488900361,4.831798302,111.8953058
3.129202491,6.595837728,1.817067261,0.266844023,2.083911284,100.022247
11.84073911,11.56278923,1.470169862,0.058167914,1.528337777,89.21594319
19.11813914,6.24093883,1.714427242,0.196948185,1.911375427,112.9539497
17.37471307,6.06012273,1.735685628,-0.049143065,1.686542563,52.54605095
15.80289105,7.901616432,0.185712929,0.261454805,0.447167735,82.4985744
17.42648085,11.94379017,1.329182685,0.642881562,1.972064248,69.5311704
14.76921457,9.105287384,0.920155823,0.710064436,1.630220258,109.7044064
21.8813531,12.17224887,0.94162604,0.238551737,1.180177777,109.2799442
17.02311491,12.67116164,3.555316523,2.078934061,5.634250584,72.05426591
11.55972026,9.030769668,5.490352949,29.51234667,35.00269962,97.40340036
16.75627136,10.81345655,11.86893373,25.95404753,37.82298125,129.273857
-27.52255299,10.3807548,19.60404714,76.63952362,96.24357076,81.15798261
4.74131272,12.88836365,22.59527679,39.49147191,62.0867487,98.02568147
-2.696664078,16.36482915,29.6340558,20.08717749,49.7212333,116.020429
13.02601509,10.57237678,13.16843774,13.23193272,26.40037046,90.81177588
0.212878164,14.62729663,17.10312498,25.51415044,42.61727542,123.369412
18.82774839,13.76626077,18.80669562,22.36878399,41.17547961,121.1203849
10.20995498,6.545717108,1.744513152,11.73568889,13.48020205,81.26440193
10.96356769,9.844601547,2.426337821,0.410932461,2.837270282,67.67159095
-14.60872202,8.537453688,5.024894501,35.79999179,40.82488629,102.8456167
-15.82617561,4.496871705,4.648246737,37.27639581,41.92464254,138.3038026
17.28290142,8.919010246,1.83355374,0.215462566,2.049016306,71.91438817
11.22938508,8.923855409,1.52218722,0.280890925,1.803078146,98.45906923
23.8840035,10.27775629,1.188740518,0.252373598,1.441114116,80.01580527
6.420015108,9.311351029,6.285992802,3.467528489,9.753521291,73.10993194
19.60881417,7.963298628,0.587431826,0.314747139,0.902178966,116.6877346
-26.25446506,7.124602201,25.88429905,51.97939527,77.86369431,92.64212335
8.122910988,8.780313985,3.060817464,0.632269694,3.693087158,83.76241608
8.98336202,6.348308486,2.424302794,2.724169003,5.148471797,53.78718016
9.820071319,4.301401838,0.483917151,2.982044702,3.465961853,110.1047669
9.196310872,5.80763947,0.775177044,0.439687587,1.214864631,134.8229356
6.494520416,3.389364477,0.785656422,1.015967021,1.801623443,107.8504225
13.42609163,5.328008719,0.937124451,1.037173454,1.974297905,111.8410863
2.513731643,5.526688152,1.556171153,13.11697742,14.67314857,146.7778178
7.840462018,4.354601274,1.539317257,7.303995706,8.843312963,127.4547259
15.31435058,5.181717573,-0.523818998,0.02724586,-0.496573138,68.14196179
-2.540811483,5.452064341,2.832117716,16.04025195,18.87236967,65.65054909
7.040511938,6.477756646,1.518054065,15.58174634,17.0998004,197.4861642
8.432790424,6.420310384,1.423419031,9.801710404,11.22512944,155.0080037
3.338861337,5.975622845,2.065081056,12.07537103,14.14045209,109.2685035
7.849478964,4.87347188,3.982318774,9.087314668,13.06963344,138.5397297
5.579084169,10.23691385,1.975848934,13.37520419,15.35105312,170.9035655
-6.269871531,8.752057772,7.291596949,17.60693314,24.89853009,160.4450543
20.70115188,12.49012883,1.868989805,4.189354875,6.05834468,115.6181995
8.468512283,12.0892097,1.629063671,8.950146469,10.57921014,132.0722909
13.63174319,7.553150122,1.236681913,3.617308352,4.853990266,101.6103341
14.42544494,7.592856454,0.773265329,1.888162715,2.661428043,111.3151486
0.871226788,5.774801532,1.446523644,7.097361733,8.543885377,183.0225582
7.720552729,6.911364159,1.968443735,5.90345294,7.871896676,198.9211765
